"","Date","flow","pipe"
"369",2019-12-22,126.7,"msp"
"370",2019-12-23,146.1,"msp"
"371",2019-12-24,134.1,"msp"
"372",2019-12-25,139.4,"msp"
"373",2019-12-26,124.1,"msp"
"374",2019-12-27,109.7,"msp"
"375",2019-12-28,76.6,"msp"
"376",2019-12-29,60.9,"msp"
"377",2019-12-30,106.9,"msp"
"378",2019-12-31,114.9,"msp"
"379",2020-01-01,85.3,"msp"
"380",2020-01-02,67.4,"msp"
"381",2020-01-03,121.1,"msp"
"382",2020-01-04,12.4,"msp"
"383",2020-01-05,10.8,"msp"
"384",2020-01-06,132.9,"msp"
"385",2020-01-07,122.2,"msp"
"386",2020-01-08,131.2,"msp"
"387",2020-01-09,97.2,"msp"
"388",2020-01-10,136.3,"msp"
"389",2020-01-11,136.9,"msp"
"390",2020-01-12,3.6,"msp"
"391",2020-01-13,153.2,"msp"
"392",2020-01-14,133.7,"msp"
"393",2020-01-15,144.8,"msp"
"394",2020-01-16,68,"msp"
"395",2020-01-17,163.1,"msp"
"396",2020-01-18,137.7,"msp"
"397",2020-01-19,157.5,"msp"
"398",2020-01-20,164.5,"msp"
"399",2020-01-21,124.9,"msp"
"400",2020-01-22,109.9,"msp"
"401",2020-01-23,144.9,"msp"
"402",2020-01-24,139.4,"msp"
"403",2020-01-25,172.1,"msp"
"404",2020-01-26,83.9,"msp"
"405",2020-01-27,99.9,"msp"
"406",2020-01-28,165.8,"msp"
"407",2020-01-29,114.9,"msp"
"408",2020-01-30,128.3,"msp"
"409",2020-01-31,156.5,"msp"
"410",2020-02-01,153,"msp"
"411",2020-02-02,139,"msp"
"412",2020-02-03,110,"msp"
"413",2020-02-04,124.1,"msp"
"414",2020-02-05,168,"msp"
"415",2020-02-06,150.6,"msp"
"416",2020-02-07,106,"msp"
"417",2020-02-08,97,"msp"
"418",2020-02-09,71,"msp"
"419",2020-02-10,130,"msp"
"420",2020-02-11,133.4,"msp"
"421",2020-02-12,130.1,"msp"
"422",2020-02-13,80.5,"msp"
"423",2020-02-14,185.8,"msp"
"424",2020-02-15,149.8,"msp"
"425",2020-02-16,167.7,"msp"
"426",2020-02-17,139.8,"msp"
"427",2020-02-18,154.2,"msp"
"428",2020-02-19,187.8,"msp"
"429",2020-02-20,169.8,"msp"
"430",2020-02-21,169.2,"msp"
"431",2020-02-22,79.6,"msp"
"432",2020-02-23,211.4,"msp"
"433",2020-02-24,191.7,"msp"
"434",2020-02-25,135.6,"msp"
"435",2020-02-26,187.6,"msp"
"436",2020-02-27,204.7,"msp"
"437",2020-02-28,194.8,"msp"
"438",2020-02-29,178.9,"msp"
"439",2020-03-01,171.6,"msp"
"440",2020-03-02,163.9,"msp"
"441",2020-03-03,134.3,"msp"
"442",2020-03-04,145.3,"msp"
"443",2020-03-05,156.1,"msp"
"444",2020-03-06,164.8,"msp"
"445",2020-03-07,133.6,"msp"
"446",2020-03-08,104.4,"msp"
"447",2020-03-09,184.1,"msp"
"448",2020-03-10,215.1,"msp"
"449",2020-03-11,89.9,"msp"
"450",2020-03-12,163.3,"msp"
"451",2020-03-13,219.7,"msp"
"452",2020-03-14,165.6,"msp"
"453",2020-03-15,150.5,"msp"
"454",2020-03-16,245,"msp"
"455",2020-03-17,231.8,"msp"
"456",2020-03-18,142.7,"msp"
"457",2020-03-19,103.3,"msp"
"458",2020-03-20,134.7,"msp"
"459",2020-03-21,136.2,"msp"
"460",2020-03-22,147.5,"msp"
"461",2020-03-23,181.2,"msp"
"462",2020-03-24,151.1,"msp"
"463",2020-03-25,124.9,"msp"
"464",2020-03-26,119.9,"msp"
"465",2020-03-27,134.9,"msp"
"466",2020-03-28,181.4,"msp"
"467",2020-03-29,58.5,"msp"
"468",2020-03-30,33.1,"msp"
"469",2020-03-31,128.4,"msp"
"470",2020-04-01,89.5,"msp"
"471",2020-04-02,36,"msp"
"472",2020-04-03,59.8,"msp"
"473",2020-04-04,148.1,"msp"
"474",2020-04-05,134.8,"msp"
"475",2020-04-06,152,"msp"
"476",2020-04-07,111.4,"msp"
"477",2020-04-08,144.6,"msp"
"478",2020-04-09,107.1,"msp"
"479",2020-04-10,161.3,"msp"
"480",2020-04-11,149.8,"msp"
"481",2020-04-12,139.8,"msp"
"482",2020-04-13,114.9,"msp"
"483",2020-04-14,130.7,"msp"
"484",2020-04-15,107.9,"msp"
"485",2020-04-16,70,"msp"
"486",2020-04-17,100.7,"msp"
"487",2020-04-18,137.8,"msp"
"488",2020-04-19,136.9,"msp"
"489",2020-04-20,103.2,"msp"
"490",2020-04-21,104.4,"msp"
