"","Date","flow","pipe"
"565",2020-07-05,1400.2,"qclng"
"566",2020-07-06,1368.1,"qclng"
"567",2020-07-07,1283.3,"qclng"
"568",2020-07-08,1266.2,"qclng"
"569",2020-07-09,1246.6,"qclng"
"570",2020-07-10,1290.5,"qclng"
"571",2020-07-11,1258.3,"qclng"
"572",2020-07-12,1273.1,"qclng"
"573",2020-07-13,1331.3,"qclng"
"574",2020-07-14,1104.4,"qclng"
"575",2020-07-15,998.1,"qclng"
"576",2020-07-16,1157.5,"qclng"
"577",2020-07-17,1185,"qclng"
"578",2020-07-18,1231.2,"qclng"
"579",2020-07-19,1225.3,"qclng"
"580",2020-07-20,1258.4,"qclng"
"581",2020-07-21,1261.5,"qclng"
"582",2020-07-22,1236,"qclng"
"583",2020-07-23,1192.3,"qclng"
"584",2020-07-24,1192.8,"qclng"
"585",2020-07-25,1212.6,"qclng"
"586",2020-07-26,1272.6,"qclng"
"587",2020-07-27,1287.2,"qclng"
"588",2020-07-28,1246.7,"qclng"
"589",2020-07-29,1266,"qclng"
"590",2020-07-30,1238.3,"qclng"
"591",2020-07-31,1240.9,"qclng"
"592",2020-08-01,1273.3,"qclng"
"593",2020-08-02,1294.5,"qclng"
"594",2020-08-03,1293.1,"qclng"
"595",2020-08-04,1278.9,"qclng"
"596",2020-08-05,1271.1,"qclng"
"597",2020-08-06,1273.9,"qclng"
"598",2020-08-07,1265,"qclng"
"599",2020-08-08,1245.1,"qclng"
"600",2020-08-09,1270.3,"qclng"
"601",2020-08-10,1036.2,"qclng"
"602",2020-08-11,775,"qclng"
"603",2020-08-12,765.5,"qclng"
"604",2020-08-13,1124.3,"qclng"
"605",2020-08-14,1224,"qclng"
"606",2020-08-15,1184.4,"qclng"
"607",2020-08-16,1132.3,"qclng"
"608",2020-08-17,1200.4,"qclng"
"609",2020-08-18,1224.2,"qclng"
"610",2020-08-19,1225.5,"qclng"
"611",2020-08-20,1171,"qclng"
"612",2020-08-21,1210.3,"qclng"
"613",2020-08-22,1212.6,"qclng"
"614",2020-08-23,1239.9,"qclng"
"615",2020-08-24,1172.2,"qclng"
"616",2020-08-25,1205.8,"qclng"
"617",2020-08-26,1027.6,"qclng"
"618",2020-08-27,786.5,"qclng"
"619",2020-08-28,792.9,"qclng"
"620",2020-08-29,947.3,"qclng"
"621",2020-08-30,1251.8,"qclng"
"622",2020-08-31,1288.9,"qclng"
"623",2020-09-01,1307.6,"qclng"
"624",2020-09-02,1322,"qclng"
"625",2020-09-03,1367,"qclng"
"626",2020-09-04,1391.5,"qclng"
"627",2020-09-05,1406.5,"qclng"
"628",2020-09-06,1431.1,"qclng"
"629",2020-09-07,1349.4,"qclng"
"630",2020-09-08,1315.8,"qclng"
"631",2020-09-09,1356.3,"qclng"
"632",2020-09-10,1333.5,"qclng"
"633",2020-09-11,1345.9,"qclng"
"634",2020-09-12,1364.5,"qclng"
"635",2020-09-13,1403,"qclng"
"636",2020-09-14,1458,"qclng"
"637",2020-09-15,1433.1,"qclng"
"638",2020-09-16,1420.2,"qclng"
"639",2020-09-17,1422.8,"qclng"
"640",2020-09-18,1385.7,"qclng"
"641",2020-09-19,1192.8,"qclng"
"642",2020-09-20,1285,"qclng"
"643",2020-09-21,1315.6,"qclng"
"644",2020-09-22,1217.7,"qclng"
"645",2020-09-23,1211.1,"qclng"
"646",2020-09-24,1291.1,"qclng"
"647",2020-09-25,1258.6,"qclng"
"648",2020-09-26,1390.9,"qclng"
"649",2020-09-27,1511.8,"qclng"
"650",2020-09-28,1487.1,"qclng"
"651",2020-09-29,1462.9,"qclng"
"652",2020-09-30,1465,"qclng"
"653",2020-10-01,1288.1,"qclng"
"654",2020-10-02,1266.3,"qclng"
"655",2020-10-03,1306.4,"qclng"
"656",2020-10-04,1303.1,"qclng"
"657",2020-10-05,1197.4,"qclng"
"658",2020-10-06,1094.8,"qclng"
"659",2020-10-07,1100.6,"qclng"
"660",2020-10-08,1139.7,"qclng"
"661",2020-10-09,1199.5,"qclng"
"662",2020-10-10,1457.1,"qclng"
"663",2020-10-11,1423.9,"qclng"
"664",2020-10-12,1374.1,"qclng"
"665",2020-10-13,1349.6,"qclng"
"666",2020-10-14,1347.6,"qclng"
"667",2020-10-15,1306.5,"qclng"
"668",2020-10-16,1318.2,"qclng"
"669",2020-10-17,1313.8,"qclng"
"670",2020-10-18,1302,"qclng"
"671",2020-10-19,1296.5,"qclng"
"672",2020-10-20,1292.9,"qclng"
